日付,ABC,CLUE,COCO,CRC,Customer Success,DS,Dive Deep,Engagement,FBProgram,File整理TRAIL,Foot Print,Forecast,ISD,NewsFeed,Panorama,People/その他,Pilot,RP,RP SharePoint,RoutineBoard,SKILL-UP,SSOT,Training,Voice,Wiki/START,トラブル報告(SDS/GSOC),メトリクス,勤怠,就業実績,架電Coaching
2025-03-23,,2.0,,27.0,2.0,19.5,,,1.0,,6.0,0.5,5.0,1.0,22.0,14.0,9.0,59.0,,,,,,,1.5,11.5,2.0,29.5,,0.5
2025-03-24,,,,21.0,,16.0,0.5,,,,0.5,3.0,4.0,0.5,17.5,7.0,16.5,62.5,,1.0,,,22.0,4.0,4.0,7.5,2.0,34.0,,
2025-03-25,,,,24.5,2.0,20.0,,1.0,7.0,,,2.5,1.5,0.5,14.5,9.0,15.5,50.5,,,,,17.0,3.5,1.0,11.0,4.0,35.5,1.5,
2025-03-26,,2.0,,30.0,1.0,21.5,,,,,,0.5,6.0,2.5,21.5,8.0,12.0,47.0,,1.5,,,17.0,,,11.0,5.5,31.0,3.0,2.0
2025-03-27,,1.5,,20.5,,33.5,0.5,0.5,1.5,,1.5,,1.0,,16.0,3.5,15.5,52.5,,1.0,,,9.0,,,16.5,6.0,30.5,2.0,
2025-03-28,,2.0,,23.5,1.0,31.5,,0.5,,,1.0,0.5,,1.0,20.0,9.0,11.5,49.0,,,,,6.0,3.0,,13.5,3.5,32.0,,
2025-03-29,,3.0,,29.0,,35.0,,0.5,,,,,,0.5,20.5,1.5,7.0,46.0,,5.5,1.5,,,1.0,,15.0,2.0,30.0,,1.5
2025-03-30,,0.5,,17.5,,18.5,1.0,,,,3.5,5.0,,0.5,19.5,7.5,10.0,52.5,,11.0,4.0,,,5.0,,15.5,2.0,32.0,1.0,2.0
2025-03-31,,2.5,,22.5,,26.0,,,,1.0,1.5,1.0,,1.0,15.5,5.0,21.0,65.0,,8.0,,,,3.5,,12.5,3.0,32.0,0.5,3.0
2025-04-01,,0.5,,27.0,2.0,12.5,,,4.0,,,,,1.0,11.5,5.0,22.0,63.0,,1.5,,,79.5,2.0,,7.0,2.0,38.0,1.0,
2025-04-02,,0.5,,19.5,1.5,14.5,1.0,,1.0,,0.5,0.5,,0.5,12.5,4.0,11.5,63.5,,2.0,4.0,,80.0,1.5,,5.0,1.0,36.0,,3.0
2025-04-03,,,,24.5,,9.5,,,1.5,,1.0,,0.5,0.5,9.5,16.5,12.0,64.0,,,1.0,,88.0,,,10.0,2.5,38.0,0.5,
2025-04-04,,2.0,,17.0,,14.0,0.5,,,,,,0.5,0.5,14.0,2.0,21.5,72.0,,0.5,,,82.75,7.5,,10.0,2.0,37.5,0.5,
2025-04-05,,0.5,,9.0,,20.5,,,,,,,2.5,1.5,17.0,11.5,35.0,65.0,,,1.25,,79.5,1.0,,10.5,2.5,31.5,,
2025-04-06,,1.5,,17.0,,19.0,0.5,,,,,,1.5,0.5,15.0,5.0,42.5,60.5,,,,,16.5,,,8.5,1.5,27.5,,0.5
2025-04-07,,,,16.0,,15.5,,,3.5,,,,,,15.0,8.0,34.0,66.0,,0.5,0.5,,7.5,,,2.0,1.0,27.5,,1.0
2025-04-08,,0.5,,28.0,,12.0,,,2.5,,3.0,0.5,,4.0,9.5,4.0,37.0,44.0,,0.5,0.5,,,,,11.0,2.0,26.0,4.5,
2025-04-09,,,,3.5,,13.0,,0.5,0.5,,1.0,,,0.5,8.0,1.5,40.0,59.0,,1.0,,,71.0,,,11.0,,21.0,,
2025-04-10,,,,12.0,,10.0,,,2.0,,,,,1.0,7.5,2.5,24.5,57.0,,0.5,,,79.0,,,6.5,,20.0,,
2025-04-11,,,,34.5,,12.5,,,6.5,,,,,0.5,8.0,1.5,24.5,62.0,,,,,64.0,,,9.0,2.0,32.0,0.5,
2025-04-12,,,,,,3.0,,,,,,,,,,,,,,2.0,,,8.0,,,,1.0,2.0,,
